No,name, cid,MOLECULAR_FORMULA,Acute toxicity,Flammability,Instability,Skin Toxicity,Respiratory Toxicity,Eye Toxicity,Environmental Toxicity,,,,,,,,,,,,,,,,,
32,Benzyllithium,10898650,C7H7Li,1,3,0,4,4,3,4,,,,,,,,,,,,,,,,,
33,3-Phenyl-1-propylmagnesium bromide,11117678,C9H11BrMg,4,0,2,4,4,4,4,,,,,,,,,,,,,,,,,
34,"Zinc, chloro(phenylmethyl)-",11240947,C7H7ClZn,3,3,0,4,4,3,4,,,,,,,,,,,,,,,,,
35,4-Methylbenzylmagnesium chloride,11298156,C8H9ClMg,3,3,1,4,4,4,4,,,,,,,,,,,,,,,,,
36,Methyl(1-phenylethyl)tellane,11390976,C9H12Te,4,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
37,m-Xylene-d10,12205476,C8H10,4,3,3,4,4,4,4,,,,,,,,,,,,,,,,,
38,"Styrene-2,3,4,5,6-d5",12998940,C8H8,3,4,0,4,4,4,4,,,,,,,,,,,,,,,,,
39,2-Deuterioethenylbenzene,16689236,C8H8,3,4,0,4,4,4,4,,,,,,,,,,,,,,,,,
40,Methyl-13C-benzene,12205509,C7H8,2,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
41,"1,4-Dimethyl(~2~H_4_)benzene",16213273,C8H10,4,0,1,4,4,4,4,,,,,,,,,,,,,,,,,
42,M-Xylene-D4 (ring-D4),45048826,C8H10,3,0,3,4,4,4,4,,,,,,,,,,,,,,,,,
43,"Benzene, ((2S)-2-methylbutyl)-",3084792,C11H16,2,0,0,4,1,4,4,,,,,,,,,,,,,,,,,
44,(R)-sec-butylbenzene,11029895,C10H14,3,4,2,4,3,4,4,,,,,,,,,,,,,,,,,
45,"Stannane, tributyl(phenylmethyl)-",141419,C19H34Sn,2,4,4,4,4,4,4,,,,,,,,,,,,,,,,,
46,"1,2-Bis(1-methylethenyl)benzene",3798910,C12H14,3,3,1,4,4,4,4,,,,,,,,,,,,,,,,,
47,"[(3E)-4,8-dimethylnona-3,7-dienyl]benzene",11333662,C17H24,3,2,3,4,4,4,4,,,,,,,,,,,,,,,,,
48,((Z)-2-Fluoro-vinyl)-benzene,12517797,C8H7F,3,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
49,(2-Methyl-1-butenyl)benzene,521723,C11H14,4,4,1,4,4,4,4,,,,,,,,,,,,,,,,,
50,4-Vinyl-alpha-methylstyrene,523736,C11H12,4,4,3,4,4,4,4,,,,,,,,,,,,,,,,,
51,(S)-sec-butylbenzene,10909617,C10H14,3,4,2,4,3,4,4,,,,,,,,,,,,,,,,,
52,[(E)-2-fluoroethenyl]benzene,10975476,C8H7F,3,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
53,"1-Phenyl-5-heptene-1,3-diyne",5281154,C13H10,4,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
54,"2-Phenyl-1,4-cyclohexadiene",14948,C12H12,4,4,4,4,4,3,4,,,,,,,,,,,,,,,,,
55,Di-o-tolylmercury,69230,C14H14Hg,2,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
56,Chloro(2-methylphenyl)mercury,76016,C7H7ClHg,2,4,2,4,4,4,3,,,,,,,,,,,,,,,,,
57,1-Phenyl-1-heptyne,84397,C13H16,3,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
58,1-Phenyl-3-methyl-1-butyne,137112,C11H12,2,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
59,"Benzene, 1-cyclobuten-1-yl-",137906,C10H10,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,
60,Phenyl-t-butylacetylene,138165,C12H14,2,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
61,"Stannane, trimethyl(phenylmethyl)-",138186,C10H16Sn,2,3,0,3,4,4,4,,,,,,,,,,,,,,,,,
62,Benzyl cation,138815,C7H7-,2,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
63,1-Phenyl-1-octyne,140158,C14H18,3,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
64,"Benzene, 1-butyl-4-fluoro-",140728,C10H13F,2,2,0,4,4,4,4,,,,,,,,,,,,,,,,,
65,"Plumbane, trimethyl(phenylmethyl)-",143153,C10H16Pb,2,4,0,4,4,4,4,,,,,,,,,,,,,,,,,
66,"Benzene, (cyclopropylidenemethyl)-",522586,C10H10,4,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
67,"Benzene, 5-hexen-1-yl-",523965,C12H16,4,2,1,4,4,4,4,,,,,,,,,,,,,,,,,
68,5-Methylheptylbenzene,564254,C14H22,4,2,1,4,4,4,4,,,,,,,,,,,,,,,,,
69,6-Methyl-6-phenylfulvene,592822,C13H12,3,2,1,3,2,3,4,,,,,,,,,,,,,,,,,
70,2-Methyl-1-phenyl-1-butene,2063383,C11H14,4,4,1,4,4,4,4,,,,,,,,,,,,,,,,,
71,trans-6-Phenyl-2-hexene,5369434,C12H16,2,3,1,4,2,4,3,,,,,,,,,,,,,,,,,
72,"cis-1-Phenyl-3,3-dimethyl-but-1-ene",5463167,C12H16,4,4,3,4,4,4,4,,,,,,,,,,,,,,,,,
73,"trans-1-Phenyl-3,3-dimethyl-but-1-ene",5463182,C12H16,4,4,3,4,4,4,4,,,,,,,,,,,,,,,,,
74,1-Fluoroethylbenzene,9898821,C8H9F,4,3,1,4,4,4,2,,,,,,,,,,,,,,,,,
75,1-fluoro-4-[(E)-pent-1-enyl]benzene,10975822,C11H13F,4,0,1,4,4,4,4,,,,,,,,,,,,,,,,,
76,1-Fluoropentylbenzene,11052019,C11H15F,4,0,4,4,4,4,4,,,,,,,,,,,,,,,,,
77,1-Ethyl-2-fluorobenzene,11105361,C8H9F,3,3,1,3,4,3,4,,,,,,,,,,,,,,,,,
78,"Benzene, (1-fluoropropyl)-",11116135,C9H11F,3,4,2,4,3,4,4,,,,,,,,,,,,,,,,,
79,1-[(E)-but-1-enyl]-4-fluorobenzene,11126438,C10H11F,4,3,1,4,4,4,4,,,,,,,,,,,,,,,,,
80,(E)-1-Fluoro-4-(prop-1-en-1-yl)benzene,11320960,C9H9F,4,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
81,(2-Fluoropropyl)benzene,11367026,C9H11F,3,2,0,4,3,4,4,,,,,,,,,,,,,,,,,
82,2-Phenyl-3-fluoro-1-propene,12705317,C9H9F,2,0,2,4,4,4,4,,,,,,,,,,,,,,,,,
83,(1-Fluoroprop-1-en-1-yl)benzene,12756883,C9H9F,4,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
84,[(E)-1-fluoroprop-1-enyl]benzene,12756884,C9H9F,4,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
85,(3-Fluorobutyl)benzene,14870238,C10H13F,3,2,1,4,4,4,4,,,,,,,,,,,,,,,,,
86,Fluorobenzyl methylene carbon,14894480,C9H9F,2,0,2,4,4,4,4,,,,,,,,,,,,,,,,,
87,Fluorobutylbenzene,18546980,C10H13F,4,0,3,4,4,4,4,,,,,,,,,,,,,,,,,
88,"Phosphonous dichloride, (3-methylphenyl)-",12007959,C7H7Cl2P,3,4,1,4,4,4,4,,,,,,,,,,,,,,,,,
89,"Phosphonous dichloride, (2-methylphenyl)-",14226801,C7H7Cl2P,2,4,2,4,4,4,3,,,,,,,,,,,,,,,,,
90,Benzyl,123147,C7H7,3,4,0,4,4,4,4,,,,,,,,,,,,,,,,,
91,2-Methylbenzyl radical,137549,C8H9,3,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
92,"Ethyl, 2-phenyl-",146323,C8H9,2,3,0,3,4,3,4,,,,,,,,,,,,,,,,,
93,"Hexa-1,3-diynylbenzene",5320055,C12H10,4,1,2,4,4,4,4,,,,,,,,,,,,,,,,,
94,"(3,6-Octadienyl)benzene",5365894,C16H22,3,4,3,4,4,4,3,,,,,,,,,,,,,,,,,
95,3-Phenyl-2-pentene,20127,C11H14,4,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
96,"1,3-Butadienylbenzene",137048,C10H10,3,0,1,4,3,4,4,,,,,,,,,,,,,,,,,
97,Benzyl phosphine,414658,C7H9P,2,3,0,3,4,3,4,,,,,,,,,,,,,,,,,
98,6-Phenyl-1-hexene,519188,C12H16,2,0,1,4,2,4,3,,,,,,,,,,,,,,,,,
99,"Benzene, (2-methyl-1-methylenepropyl)-",519430,C11H14,4,0,1,4,4,4,4,,,,,,,,,,,,,,,,,
100,"Benzene, (4-methyl-4-pentenyl)-",568835,C12H16,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
101,"Benzene, 1,2-hexadienyl-",582243,C12H14,2,4,3,4,4,4,4,,,,,,,,,,,,,,,,,
102,4-Phenylbut-3-ene-1-yne,640895,C10H8,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
103,Cyclohexylidenemethylbenzene,4158813,C13H16,4,2,3,4,4,4,4,,,,,,,,,,,,,,,,,
104,4-Tolylphosphine,4379937,C7H9P,3,2,1,4,4,4,4,,,,,,,,,,,,,,,,,
105,Pent-4-en-1-ynylbenzene,5149879,C11H10,2,4,2,4,4,3,4,,,,,,,,,,,,,,,,,
106,cis-1-Methyl-4-propenyl-benzene,5314322,C10H12,3,2,0,4,4,4,3,,,,,,,,,,,,,,,,,
107,Benzylium,5325558,C7H5O+,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
108,2-Methyl-trans-beta-methylstyrene,5352277,C10H12,3,3,3,4,4,4,4,,,,,,,,,,,,,,,,,
109,"Benzene, 3-pentenyl-, (Z)-",5368251,C11H14,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
110,"Benzene, 1-octenyl-",5369452,C14H20,4,2,1,4,4,4,4,,,,,,,,,,,,,,,,,
111,(1E)-1-Hexenylbenzene,5370603,C12H16,4,2,1,4,4,4,4,,,,,,,,,,,,,,,,,
112,(1-Methylenebut-2-enyl)benzene,5371708,C11H12,3,1,2,4,4,4,4,,,,,,,,,,,,,,,,,
113,"Hexa-1,3-dienylbenzene",5371716,C12H14,4,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
114,"1,3,5,7-Cyclooctatetraene, 1-phenyl-",5374720,C14H12,4,4,3,4,4,4,4,,,,,,,,,,,,,,,,,
115,[(Z)-hex-1-enyl]benzene,6427422,C12H16,4,2,1,4,4,4,4,,,,,,,,,,,,,,,,,
116,"Benzene, 1-pentenyl-, cis",6431017,C11H14,4,0,1,4,4,4,4,,,,,,,,,,,,,,,,,
117,(r)-3-Phenyl-1-butene,9793782,C10H12,4,2,2,4,3,4,4,,,,,,,,,,,,,,,,,
118,(+)-(S)-But-3-en-2-ylbenzene,9877374,C10H12,4,2,2,4,3,4,4,,,,,,,,,,,,,,,,,
119,"[(1E)-3-methyl-1,3-butadienyl]benzene",10701942,C11H12,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
120,"Benzene, 3,4-pentadienyl-",10877242,C11H12,4,3,3,4,4,4,4,,,,,,,,,,,,,,,,,
121,"2,3-Butadienylbenzene",10953546,C10H10,3,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
122,"Benzene, (3-methyl-3-buten-1-ynyl)-",10975591,C11H10,4,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
123,(But-3-en-1-yn-1-yl)benzene,11007918,C10H8,2,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
124,"(1E)-1,5-hexadienylbenzene",11019144,C12H14,4,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
125,(Z)-(2-Iodo-propenyl)-benzene,11032100,C9H9I,4,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
126,(E)-(1-Methyl-hex-1-enyl)-benzene,11126778,C13H18,4,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
127,"Penta-1,3-dien-1-ylbenzene",11321013,C11H12,3,3,1,4,4,4,4,,,,,,,,,,,,,,,,,
128,[(1E)-3-methyl-1-pentenyl]benzene,11805059,C12H16,4,0,1,4,4,4,4,,,,,,,,,,,,,,,,,
129,1-(But-1-en-2-yl)-4-methylbenzene,12454235,C11H14,4,3,3,4,4,4,4,,,,,,,,,,,,,,,,,
130,"(2,3-Dimethyl-1-butenyl)benzene",12499923,C12H16,4,4,1,4,4,4,4,,,,,,,,,,,,,,,,,
131,"1-(1,3-Butadienyl)-2-methybenzene",12706104,C11H12,3,1,1,4,4,4,4,,,,,,,,,,,,,,,,,
132,"1-(1,3-Butadienyl)-4-methyl-benzene",13240693,C11H12,3,1,1,4,4,4,4,,,,,,,,,,,,,,,,,
133,"1-Phenyl-2,4-pentadiyne",11018996,C11H12,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
134,"((E)-3-Fluoro-buta-1,3-dienyl)-benzene",11019018,C10H9F,3,2,4,4,4,4,4,,,,,,,,,,,,,,,,,
135,"Arsine, chloroethyl-p-tolyl-",3040044,C9H12AsCl,3,0,2,4,4,4,4,,,,,,,,,,,,,,,,,
136,Iodo(p-tolyl)mercury,33272,C7H7HgI,2,4,0,4,4,4,4,,,,,,,,,,,,,,,,,
137,"alpha-Methylbenzylzinc chloride, 0.5M in THF",44155153,C8H9ClZn,3,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
138,Bromozincylium; phenylmethanide,6101044,C7H7BrZn,3,3,0,4,4,3,4,,,,,,,,,,,,,,,,,
139,Cumene-isopropyl-d7,10749195,C9H12,4,2,0,4,3,4,4,,,,,,,,,,,,,,,,,
140,"Ethyl-1,1-d2-benzene",11607859,C8H10,2,3,0,3,4,3,4,,,,,,,,,,,,,,,,,
141,"1,2,3,4,5-Pentadeuterio-6-(1-deuterioethenyl)benzene",11788275,C8H8,3,4,3,4,4,4,4,,,,,,,,,,,,,,,,,
142,"1,2-Dimethyl-13C2-benzene",12205475,C8H10,2,4,2,4,4,4,2,,,,,,,,,,,,,,,,,
143,Toluene-4-13C,12205510,C7H8,2,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
144,p-Xylene-dimethyl-13C2,16213272,C8H10,3,0,1,4,4,4,4,,,,,,,,,,,,,,,,,
145,"O-Xylene-alpha,alpha,alpha,alpha',alpha',alpha'-D6",16213276,C8H10,4,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
146,Ethyl-1-13C-benzene,16217335,C8H10,2,3,0,3,4,3,4,,,,,,,,,,,,,,,,,
147,"1-(1,1-~2~H_2_)Ethyl(~2~H_5_)benzene",16217368,C8H10,3,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
148,"1,2-Dideuterioethenylbenzene",16696706,C8H8,3,4,0,4,4,4,4,,,,,,,,,,,,,,,,,
149,"M-Xylene-alpha,alpha,alpha,alpha',alpha',alpha'-D6",71308906,C8H10,4,4,1,4,4,4,4,,,,,,,,,,,,,,,,,
150,(2-~13~C)Ethylbenzene,71308910,C8H10,2,3,0,3,4,3,4,,,,,,,,,,,,,,,,,
151,"Benzene-13C6, methyl-",71309102,C7H8,2,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
152,(~13~C_2_)Ethylbenzene,71309252,C8H10,2,3,0,3,4,3,4,,,,,,,,,,,,,,,,,
153,(1-~13~C)Ethenylbenzene,71310300,C8H8,3,4,0,4,4,4,4,,,,,,,,,,,,,,,,,
154,1-(~13~C)Methyl(~13~C_6_)benzene,71310327,C7H8,2,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
155,Benzylgermane,71337725,C7H10Ge,3,3,0,4,4,3,4,,,,,,,,,,,,,,,,,
156,(111C)methylbenzene,450705,C7H8,2,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
157,(18F)fluoranylmethylbenzene,450730,C7H7F,3,3,2,4,3,4,4,,,,,,,,,,,,,,,,,
158,Benzyl selenol,11389655,C7H7Se,3,3,2,4,4,3,4,,,,,,,,,,,,,,,,,
159,CID 12662242,12662242,C8H9-,2,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
160,Phenylmethaneselenol,12973854,C7H8Se,3,3,0,4,4,3,4,,,,,,,,,,,,,,,,,
161,"Nona-1,4-diyn-1-ylbenzene",259276,C15H16,2,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
162,"Germane, trimethyl(phenylmethyl)-",137745,C10H16Ge,3,3,2,3,4,3,4,,,,,,,,,,,,,,,,,
163,"Acetylene, 1-phenyl-2-trimethylgermyl-",138126,C11H14Ge,2,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
164,"Stannane, triethyl(phenylmethyl)-",140403,C13H22Sn,2,3,0,3,4,4,4,,,,,,,,,,,,,,,,,
165,2-Heptenylbenzene,5370601,C13H18,3,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
166,[(E)-1-fluoroprop-1-en-2-yl]benzene,12517798,C9H9F,4,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
167,[(E)-5-fluoropent-2-en-2-yl]benzene,13757519,C11H13F,4,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
168,"[(1E,3E)-6-fluorohexa-1,3-dienyl]benzene",13757525,C12H13F,4,0,1,4,4,4,4,,,,,,,,,,,,,,,,,
169,2-Fluoropentylbenzene,21602407,C11H15F,4,0,1,4,4,4,4,,,,,,,,,,,,,,,,,
170,1-(Fluoromethyl)-2-methylselanylbenzene,23236700,C8H9FSe,3,1,2,3,4,3,4,,,,,,,,,,,,,,,,,
171,[(E)-5-fluoropent-3-enyl]benzene,71814109,C11H13F,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
172,"3-Fluorobuta-1,3-dien-2-ylbenzene",86044421,C10H9F,3,1,4,4,4,3,4,,,,,,,,,,,,,,,,,
173,"1-Phenylhept-5-ene-1,3-diyne",117403,C13H10,4,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
174,Hex-4-en-2-ynylbenzene,53804035,C12H12,2,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
175,1-Phenylhex-2-en-4-yne,78384847,C12H12,3,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
176,(e)-Hex-4-en-2-ynylbenzol,129820575,C12H12,2,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
177,Chloro-m-tolylmercury,80055,C7H7ClHg,3,1,1,4,4,3,4,,,,,,,,,,,,,,,,,
178,Dimethyl-p-tolylphosphine,88645,C9H13P,3,4,1,4,4,4,4,,,,,,,,,,,,,,,,,
179,2-Methyl methylselenobenzene,137061,C8H10Se,3,4,2,4,4,4,3,,,,,,,,,,,,,,,,,
180,Toluene-d7,137454,C7H8,2,0,3,4,4,4,2,,,,,,,,,,,,,,,,,
181,3-Methylbenzyl radical,137548,C8H9,3,0,0,3,4,3,4,,,,,,,,,,,,,,,,,
182,1-Phenylethyl radical,137551,C8H9,2,3,0,3,4,4,4,,,,,,,,,,,,,,,,,
183,4-Methylbenzyl radical,137552,C8H9,3,0,1,4,4,4,4,,,,,,,,,,,,,,,,,
184,2-Phenyl-2-propyl radical,140141,C9H11,2,3,0,4,4,3,4,,,,,,,,,,,,,,,,,
185,"2-Methylbuta-1,3-diene;styrene",159989,C13H16,3,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
186,Limonene-styrene,174057,C18H24,3,4,3,4,4,4,4,,,,,,,,,,,,,,,,,
187,1-Phenyl-3-pentene,519421,C11H14,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
188,"Benzene, 1,3-butadienyl-, (Z)-",5463122,C10H10,3,0,1,4,3,4,4,,,,,,,,,,,,,,,,,
189,Isobutylene para-methylstyrene,6454125,C13H18,2,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
190,"1,3,5-Trivinylbenzol",10219562,C12H12,4,4,0,4,4,4,4,,,,,,,,,,,,,,,,,
191,Lithium;ethenylbenzene,10942370,C8H7Li,3,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
192,"Lithium, [1,1'-biphenyl]-4-yl-",11030111,C12H9Li,4,0,2,4,4,4,4,,,,,,,,,,,,,,,,,
193,1-(Fluoromethyl)-4-methylbenzene,11051639,C8H9F,3,3,1,4,4,3,4,,,,,,,,,,,,,,,,,
194,(3-Fluoro-3-methylbutyl)benzene,11062767,C11H15F,4,0,2,4,4,4,4,,,,,,,,,,,,,,,,,
195,"Potassium, (1-methyl-1-phenylethyl)-",11073705,C9H11K,2,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
196,"Potassium, (phenylmethyl)-",11083915,C7H7K,1,3,0,4,4,3,4,,,,,,,,,,,,,,,,,
197,"Lithium, [1,1'-biphenyl]-2-yl-",11105649,C12H9Li,4,0,2,4,4,4,4,,,,,,,,,,,,,,,,,
198,1-Phenylcyclopropene,11147698,C9H8,3,4,4,4,4,3,4,,,,,,,,,,,,,,,,,
199,[(E)-3-fluoroprop-1-enyl]benzene,11768632,C9H9F,3,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
200,Benzylsodium,11789171,C7H7Na,1,3,0,4,4,3,4,,,,,,,,,,,,,,,,,
201,(1-Fluoro-2-methylprop-1-enyl)benzene,11789370,C10H11F,3,4,4,4,4,3,3,,,,,,,,,,,,,,,,,
202,1-fluoro-2-[(1E)-1-hexenyl]benzene,11830000,C12H15F,4,0,1,4,4,4,4,,,,,,,,,,,,,,,,,
203,Lithium 3-phenylpropan-1-ide,12860978,C9H11Li,4,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
204,[(E)-2-fluoroprop-1-enyl]benzene,13032199,C9H9F,4,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
205,[(Z)-2-fluoroprop-1-enyl]benzene,13032200,C9H9F,4,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
206,[(Z)-2-fluorobut-1-enyl]benzene,13032202,C10H11F,4,4,1,4,4,4,4,,,,,,,,,,,,,,,,,
207,"(E)-1-(Buta-1,3-dien-1-yl)-4-fluorobenzene",13240697,C10H9F,3,1,1,4,4,4,4,,,,,,,,,,,,,,,,,
208,1-[(E)-2-fluoroethenyl]-4-methylbenzene,13459771,C9H9F,4,2,2,4,4,4,4,,,,,,,,,,,,,,,,,
209,[(E)-4-fluorobut-1-enyl]benzene,13757518,C10H11F,4,0,1,4,4,4,4,,,,,,,,,,,,,,,,,
210,(2-Fluoro-2-methylpropyl)benzene,14343442,C10H13F,2,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
211,Potassium 1-phenylethan-1-ide,14510285,C8H9K,2,3,0,4,4,4,4,,,,,,,,,,,,,,,,,
212,1-(1-Fluoroethenyl)-4-methylbenzene,15083726,C9H9F,4,3,3,4,4,4,4,,,,,,,,,,,,,,,,,
213,"1-(Buta-2,3-dien-2-yl)-4-fluorobenzene",15398626,C10H9F,3,0,2,4,4,4,4,,,,,,,,,,,,,,,,,
214,(2-Fluoroethenyl)benzene,15832161,C8H7F,3,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
215,1-Fluoroprop-2-enylbenzene,20320804,C9H9F,2,4,0,4,4,4,4,,,,,,,,,,,,,,,,,
216,1-fluoro-2-[(E)-prop-1-enyl]benzene,21719390,C9H9F,4,3,2,4,4,4,4,,,,,,,,,,,,,,,,,
217,Butadiene isoprene styrene,21879892,C17H22,3,4,3,4,4,4,4,,,,,,,,,,,,,,,,,
218,Toluene water,22272177,C7H10O,3,4,3,4,4,4,4,,,,,,,,,,,,,,,,,
219,Ethylene styrene,22558332,C10H12,3,4,0,4,4,4,4,,,,,,,,,,,,,,,,,
220,"1-[(E)-3,3-dimethylbut-1-enyl]-4-fluorobenzene",22975196,C12H15F,4,4,3,4,4,4,4,,,,,,,,,,,,,,,,,
221,1-Fluoro-4-(3-methylbut-2-en-2-yl)benzene,24740825,C11H13F,4,4,3,4,4,4,4,,,,,,,,,,,,,,,,,
222,Isobutylene styrene,44154101,C12H16,3,4,0,4,4,4,4,,,,,,,,,,,,,,,,,
223,2-Fluoroprop-1-enylbenzene,53917661,C9H9F,4,4,2,4,4,4,4,,,,,,,,,,,,,,,,,
